cooperator_type,n_selfish,sustainability_ratio,payoff_gini,cooperator_payoff,selfish_payoff
cooperative,0,0.5,0.0,125.0,
cooperative,1,0.4375,0.5519634127109289,45.72265625,670.72265625
cooperative,2,0.16722117559463326,0.7385324798186085,1.25,323.260542879632
cooperative,3,3.2505354262725236e-07,0.5746770483842323,1.25,39.31593412697527
cooperative,4,9.255026566264295e-17,0.44181693094360525,1.25,20.233913108612743
cooperative,5,3.317206615198089e-29,0.32385368378378426,1.25,13.913812674786827
cooperative,6,8.625833860432777e-47,0.21261840389916054,1.25,10.72963820332014
cooperative,7,7.034036247588407e-77,0.10511439286060793,1.25,8.801362013726667
cooperative,8,0.0,0.0,,7.5
conditional_cooperator,0,0.5,0.0,125.0,
conditional_cooperator,1,0.0,0.07829977628635347,7.94921875,14.19921875
conditional_cooperator,2,0.0,0.13513513513513514,7.109375,13.359375
conditional_cooperator,3,0.0,0.17084282460136677,6.23046875,12.48046875
conditional_cooperator,4,0.0,0.1851851851851852,5.3125,11.5625
conditional_cooperator,5,0.0,0.1773049645390071,4.35546875,10.60546875
conditional_cooperator,6,0.0,0.14563106796116504,3.359375,9.609375
conditional_cooperator,7,0.0,0.08771929824561403,2.32421875,8.57421875
conditional_cooperator,8,0.0,0.0,,7.5
sanctioning,0,0.5,0.0,104.99999999999982,
sanctioning,1,0.5,0.020348837209302546,104.9999999999998,125.0
sanctioning,2,0.5,0.03409090909090945,104.99999999999982,125.0
sanctioning,3,0.5,0.041666666666667095,104.99999999999982,125.0
sanctioning,4,0.5,0.04347826086956565,104.99999999999982,125.0
sanctioning,5,0.5,0.03989361702127699,104.99999999999982,125.0
sanctioning,6,0.5,0.0312500000000003,104.99999999999982,125.0
sanctioning,7,0.5,0.01785714285714303,104.99999999999982,125.0
sanctioning,8,0.0,0.0,,7.5
